state_short,county_id,county_name,per_clinton,per_trump
PA,42043,Dauphin County,49,47
PA,42055,Franklin County,25,71
PA,42067,Juniata County,17,79
PA,42079,Luzerne County,39,58
PA,42081,Lycoming County,26,70
PA,42099,Perry County,22,74
PA,42101,Philadelphia County,83,15
PA,42103,Pike County,35,62
PA,42125,Washington County,36,61
PA,42129,Westmoreland County,33,64
SD,46003,Aurora County,24,69
SD,46005,Beadle County,28,66
SD,46007,Bennett County,36,58
SD,46009,Bon Homme County,24,71
SD,46011,Brookings County,38,53
SD,46013,Brown County,34,60
SD,46015,Brule County,25,68
SD,46017,Buffalo County,60,35
SD,46019,Butte County,16,77
SD,46021,Campbell County,13,85
SD,46023,Charles Mix County,27,69
SD,46025,Clark County,24,69
SD,46027,Clay County,51,42
SD,46029,Codington County,27,67
SD,46031,Corson County,46,50
SD,46033,Custer County,24,70
SD,46035,Davison County,30,65
SD,46037,Day County,35,59
SD,46039,Deuel County,27,66
SD,46041,Dewey County,52,42
SD,46043,Douglas County,13,83
SD,46045,Edmunds County,20,75
SD,46047,Fall River County,23,70
SD,46049,Faulk County,18,77
SD,46053,Gregory County,19,77
SD,46055,Haakon County,7,90
SD,46057,Hamlin County,20,74
SD,46059,Hand County,18,77
SD,46061,Hanson County,21,75
SD,46063,Harding County,5,90
SD,46065,Hughes County,30,63
SD,46067,Hutchinson County,21,75
SD,46069,Hyde County,18,79
SD,46073,Jerauld County,27,67
SD,46075,Jones County,12,81
SD,46077,Kingsbury County,28,66
SD,46079,Lake County,34,60
SD,46081,Lawrence County,28,63
SD,46083,Lincoln County,32,61
SD,46085,Lyman County,26,69
SD,46089,McPherson County,24,69
SD,46091,Marshall County,17,78
SD,46093,Meade County,19,73
SD,46095,Mellette County,35,59
SD,46097,Miner County,26,66
SD,46099,Minnehaha County,39,54
SD,46101,Moody County,36,59
SD,46105,Perkins County,29,62
SD,46107,Potter County,12,83
SD,46109,Roberts County,16,80
SD,46111,Sanborn County,40,55
SD,46113,Shannon County,21,73
SD,46115,Spink County,31,63
SD,46117,Stanley County,21,73
SD,46119,Sully County,16,79
SD,46121,Todd County,71,23
SD,46123,Tripp County,18,79
SD,46125,Turner County,23,71
SD,46127,Union County,28,67
SD,46129,Walworth County,18,77
SD,46135,Yankton County,34,59
SD,46137,Ziebach County,46,48
VA,51013,Arlington County,#DIV/0!,#DIV/0!
VA,51041,Chesterfield County,#DIV/0!,#DIV/0!
VA,51069,Frederick County,#DIV/0!,#DIV/0!
VA,51073,Gloucester County,#DIV/0!,#DIV/0!
VA,51800,Suffolk city,#DIV/0!,#DIV/0!
WA,53001,Adams County,27,63
WA,53005,Benton County,31,56
WA,53007,Chelan County,37,52
WA,53009,Clallam County,43,46
WA,53011,Clark County,44,44
WA,53013,Columbia County,23,66
WA,53015,Cowlitz County,37,51
WA,53017,Douglas County,30,59
WA,53019,Ferry County,29,59
WA,53021,Franklin County,35,53
WA,53023,Garfield County,21,66
WA,53025,Grant County,26,62
WA,53027,Grays Harbor County,40,47
WA,53029,Island County,47,41
WA,53031,Jefferson County,60,29
WA,53033,King County,69,21
WA,53037,Kittitas County,38,51
WA,53041,Lewis County,27,61
WA,53045,Mason County,41,47
WA,53047,Okanogan County,35,54
WA,53049,Pacific County,41,48
WA,53053,Pierce County,47,40
WA,53055,San Juan County,64,24
WA,53057,Skagit County,45,42
WA,53059,Skamania County,38,50
WA,53061,Snohomish County,51,36
WA,53063,Spokane County,39,47
WA,53067,Thurston County,51,36
WA,53069,Wahkiakum County,34,54
WA,53073,Whatcom County,53,35
WA,53075,Whitman County,44,40
WA,53077,Yakima County,39,52
WI,55019,Clark County,63,31
WI,55047,Green Lake County,66,29
WI,55057,Juneau County,61,35
WI,55075,Marinette County,65,32
WI,55113,Sawyer County,64,31
WY,56001,Albany County,40,44
WY,56003,Big Horn County,11,75
WY,56005,Campbell County,7,86
WY,56007,Carbon County,20,68
WY,56009,Converse County,10,82
WY,56011,Crook County,7,87
WY,56013,Fremont County,24,65
WY,56015,Goshen County,16,75
WY,56017,Hot Springs County,15,73
WY,56019,Johnson County,14,78
WY,56021,Laramie County,28,60
WY,56023,Lincoln County,12,76
WY,56025,Natrona County,20,70
WY,56027,Niobrara County,9,84
WY,56029,Park County,17,73
WY,56031,Platte County,16,75
WY,56033,Sheridan County,20,70
WY,56035,Sublette County,14,77
WY,56037,Sweetwater County,19,70
WY,56039,Teton County,57,31
WY,56041,Uinta County,14,72
WY,56043,Washakie County,14,75
WY,56045,Weston County,8,85
